StartTime,EndTime,Name,SessionId,SceneName
262.46,264.62,config36,20250725173053,HandGestures
265.62,265.62,teddyIsDestroy,20250725173053,HandGestures
270.32,270.32,teddyIsTouch,20250725173058,HandGestures
267.82,270.32,config37,20250725173058,HandGestures
271.33,271.33,teddyIsDestroy,20250725173058,HandGestures
275.42,275.42,teddyIsTouch,20250725173104,HandGestures
273.53,275.42,config38,20250725173104,HandGestures
276.43,276.43,teddyIsDestroy,20250725173104,HandGestures
281.42,281.42,teddyIsTouch,20250725173109,HandGestures
278.78,281.42,config39,20250725173109,HandGestures
282.43,282.43,teddyIsDestroy,20250725173109,HandGestures
286.86,286.86,MugIsTouch,20250725173115,HandGestures
284.37,286.86,config40,20250725173115,HandGestures
287.87,287.87,MugIsDestroy,20250725173115,HandGestures
292.24,292.24,MugIsTouch,20250725173120,HandGestures
289.94,292.24,config41,20250725173120,HandGestures
293.25,293.25,MugIsDestroy,20250725173120,HandGestures
297.98,297.98,MugIsTouch,20250725173126,HandGestures
295.39,297.98,config42,20250725173126,HandGestures
298.98,298.98,MugIsDestroy,20250725173126,HandGestures
302.50,302.50,MugIsTouch,20250725173131,HandGestures
300.86,302.50,config43,20250725173131,HandGestures
303.51,303.51,MugIsDestroy,20250725173131,HandGestures
308.52,308.52,MugIsTouch,20250725173136,HandGestures
305.86,308.52,config44,20250725173136,HandGestures
309.52,309.52,MugIsDestroy,20250725173136,HandGestures
313.24,313.24,MugIsTouch,20250725173142,HandGestures
311.52,313.24,config45,20250725173142,HandGestures
314.25,314.25,MugIsDestroy,20250725173142,HandGestures
318.68,318.68,MugIsTouch,20250725173147,HandGestures
316.51,318.68,config46,20250725173147,HandGestures
319.70,319.70,MugIsDestroy,20250725173147,HandGestures
324.40,324.40,MugIsTouch,20250725173152,HandGestures
321.83,324.40,config47,20250725173152,HandGestures
325.41,325.41,MugIsDestroy,20250725173152,HandGestures
329.84,329.84,CrackerBoxIsTouch,20250725173158,HandGestures
327.77,329.84,config48,20250725173158,HandGestures
330.84,330.84,CrackerBoxIsDestroy,20250725173158,HandGestures
334.78,334.78,CrackerBoxIsTouch,20250725173203,HandGestures
333.07,334.78,config49,20250725173203,HandGestures
335.79,335.79,CrackerBoxIsDestroy,20250725173203,HandGestures
340.06,340.06,CrackerBoxIsTouch,20250725173208,HandGestures
337.98,340.06,config50,20250725173208,HandGestures
341.07,341.07,CrackerBoxIsDestroy,20250725173208,HandGestures
345.40,345.40,CrackerBoxIsTouch,20250725173214,HandGestures
343.33,345.40,config51,20250725173214,HandGestures
346.41,346.41,CrackerBoxIsDestroy,20250725173214,HandGestures
351.46,351.46,CrackerBoxIsTouch,20250725173219,HandGestures
348.86,351.46,config52,20250725173219,HandGestures
352.47,352.47,CrackerBoxIsDestroy,20250725173219,HandGestures
356.32,356.32,CrackerBoxIsTouch,20250725173225,HandGestures
354.30,356.32,config53,20250725173225,HandGestures
357.33,357.33,CrackerBoxIsDestroy,20250725173225,HandGestures
361.96,361.96,CrackerBoxIsTouch,20250725173230,HandGestures
359.80,361.96,config54,20250725173230,HandGestures
362.97,362.97,CrackerBoxIsDestroy,20250725173230,HandGestures
367.40,367.40,CrackerBoxIsTouch,20250725173236,HandGestures
365.26,367.40,config55,20250725173236,HandGestures
368.41,368.41,CrackerBoxIsDestroy,20250725173236,HandGestures
372.84,372.84,ScissorIsTouch,20250725173241,HandGestures
370.94,372.84,config56,20250725173241,HandGestures
373.84,373.84,ScissorIsDestroy,20250725173241,HandGestures
377.78,377.78,ScissorIsTouch,20250725173246,HandGestures
376.07,377.78,config57,20250725173246,HandGestures
378.79,378.79,ScissorIsDestroy,20250725173246,HandGestures
382.86,382.86,ScissorIsTouch,20250725173251,HandGestures
380.84,382.86,config58,20250725173251,HandGestures
383.88,383.88,ScissorIsDestroy,20250725173251,HandGestures
388.50,388.50,ScissorIsTouch,20250725173256,HandGestures
386.08,388.50,config59,20250725173256,HandGestures
389.51,389.51,ScissorIsDestroy,20250725173256,HandGestures
393.92,393.92,ScissorIsTouch,20250725173302,HandGestures
391.97,393.92,config60,20250725173302,HandGestures
394.93,394.93,ScissorIsDestroy,20250725173302,HandGestures
399.82,399.82,ScissorIsTouch,20250725173308,HandGestures
397.80,399.82,config61,20250725173308,HandGestures
400.83,400.83,ScissorIsDestroy,20250725173308,HandGestures
405.46,405.46,ScissorIsTouch,20250725173314,HandGestures
403.23,405.46,config62,20250725173314,HandGestures
406.47,406.47,ScissorIsDestroy,20250725173314,HandGestures
411.36,411.36,ScissorIsTouch,20250725173319,HandGestures
409.11,411.36,config63,20250725173319,HandGestures
412.37,412.37,ScissorIsDestroy,20250725173319,HandGestures
417.16,417.16,HammerIsTouch,20250725173325,HandGestures
415.11,417.16,config64,20250725173325,HandGestures
418.16,418.16,HammerIsDestroy,20250725173325,HandGestures
421.98,421.98,HammerIsTouch,20250725173331,HandGestures
420.31,421.98,config65,20250725173331,HandGestures
422.98,422.98,HammerIsDestroy,20250725173331,HandGestures
427.40,427.40,HammerIsTouch,20250725173336,HandGestures
425.26,427.40,config66,20250725173336,HandGestures
428.41,428.41,HammerIsDestroy,20250725173336,HandGestures
432.72,432.72,HammerIsTouch,20250725173341,HandGestures
430.79,432.72,config67,20250725173341,HandGestures
433.73,433.73,HammerIsDestroy,20250725173341,HandGestures
438.04,438.04,HammerIsTouch,20250725173346,HandGestures
435.87,438.04,config68,20250725173346,HandGestures
439.05,439.05,HammerIsDestroy,20250725173346,HandGestures
442.98,442.98,HammerIsTouch,20250725173352,HandGestures
441.16,442.98,config69,20250725173352,HandGestures
443.98,443.98,HammerIsDestroy,20250725173352,HandGestures
448.76,448.76,HammerIsTouch,20250725173357,HandGestures
446.33,448.76,config70,20250725173357,HandGestures
449.77,449.77,HammerIsDestroy,20250725173357,HandGestures
454.84,454.84,HammerIsTouch,20250725173403,HandGestures
452.30,454.84,config71,20250725173403,HandGestures
455.84,455.84,HammerIsDestroy,20250725173403,HandGestures
