StartTime,EndTime,Name,SessionId,SceneName
323.78,326.70,config36,20250723173548,HandGestures
327.71,327.71,teddyIsDestroy,20250723173548,HandGestures
337.22,337.22,teddyIsTouch,20250723173556,HandGestures
332.18,337.22,config37,20250723173556,HandGestures
338.23,338.23,teddyIsDestroy,20250723173556,HandGestures
344.88,344.88,teddyIsTouch,20250723173605,HandGestures
341.38,344.88,config38,20250723173605,HandGestures
345.89,345.89,teddyIsDestroy,20250723173605,HandGestures
351.92,351.92,teddyIsTouch,20250723173613,HandGestures
348.85,351.92,config39,20250723173613,HandGestures
352.93,352.93,teddyIsDestroy,20250723173613,HandGestures
360.16,360.16,MugIsTouch,20250723173620,HandGestures
356.14,360.16,config40,20250723173620,HandGestures
361.17,361.17,MugIsDestroy,20250723173620,HandGestures
366.50,366.50,MugIsTouch,20250723173628,HandGestures
364.28,366.50,config41,20250723173628,HandGestures
367.50,367.50,MugIsDestroy,20250723173628,HandGestures
373.70,373.70,MugIsTouch,20250723173635,HandGestures
370.78,373.70,config42,20250723173635,HandGestures
374.71,374.71,MugIsDestroy,20250723173635,HandGestures
380.52,380.52,MugIsTouch,20250723173642,HandGestures
377.91,380.52,config43,20250723173642,HandGestures
381.53,381.53,MugIsDestroy,20250723173642,HandGestures
388.88,388.88,MugIsTouch,20250723173649,HandGestures
384.99,388.88,config44,20250723173649,HandGestures
389.89,389.89,MugIsDestroy,20250723173649,HandGestures
395.84,395.84,MugIsTouch,20250723173657,HandGestures
393.17,395.84,config45,20250723173657,HandGestures
396.84,396.84,MugIsDestroy,20250723173657,HandGestures
402.56,402.56,MugIsTouch,20250723173704,HandGestures
399.77,402.56,config46,20250723173704,HandGestures
403.57,403.57,MugIsDestroy,20250723173704,HandGestures
409.46,409.46,MugIsTouch,20250723173711,HandGestures
406.97,409.46,config47,20250723173711,HandGestures
410.47,410.47,MugIsDestroy,20250723173711,HandGestures
416.94,416.94,CrackerBoxIsTouch,20250723173717,HandGestures
413.47,416.94,config48,20250723173717,HandGestures
417.95,417.95,CrackerBoxIsDestroy,20250723173717,HandGestures
423.56,423.56,CrackerBoxIsTouch,20250723173725,HandGestures
420.75,423.56,config49,20250723173725,HandGestures
424.57,424.57,CrackerBoxIsDestroy,20250723173725,HandGestures
430.24,430.24,CrackerBoxIsTouch,20250723173732,HandGestures
427.68,430.24,config50,20250723173732,HandGestures
431.25,431.25,CrackerBoxIsDestroy,20250723173732,HandGestures
436.88,436.88,CrackerBoxIsTouch,20250723173738,HandGestures
434.24,436.88,config51,20250723173738,HandGestures
437.89,437.89,CrackerBoxIsDestroy,20250723173738,HandGestures
444.04,444.04,CrackerBoxIsTouch,20250723173745,HandGestures
441.08,444.04,config52,20250723173745,HandGestures
445.04,445.04,CrackerBoxIsDestroy,20250723173745,HandGestures
450.16,450.16,CrackerBoxIsTouch,20250723173752,HandGestures
447.93,450.16,config53,20250723173752,HandGestures
451.17,451.17,CrackerBoxIsDestroy,20250723173752,HandGestures
457.64,457.64,CrackerBoxIsTouch,20250723173758,HandGestures
454.15,457.64,config54,20250723173758,HandGestures
458.65,458.65,CrackerBoxIsDestroy,20250723173758,HandGestures
463.82,463.82,CrackerBoxIsTouch,20250723173805,HandGestures
461.38,463.82,config55,20250723173805,HandGestures
464.83,464.83,CrackerBoxIsDestroy,20250723173805,HandGestures
471.24,471.24,ScissorIsTouch,20250723173812,HandGestures
467.69,471.24,config56,20250723173812,HandGestures
472.25,472.25,ScissorIsDestroy,20250723173812,HandGestures
477.44,477.44,ScissorIsTouch,20250723173819,HandGestures
474.97,477.44,config57,20250723173819,HandGestures
478.44,478.44,ScissorIsDestroy,20250723173819,HandGestures
485.78,485.78,ScissorIsTouch,20250723173826,HandGestures
481.75,485.78,config58,20250723173826,HandGestures
486.79,486.79,ScissorIsDestroy,20250723173826,HandGestures
494.22,494.22,ScissorIsTouch,20250723173834,HandGestures
489.78,494.22,config59,20250723173834,HandGestures
495.22,495.22,ScissorIsDestroy,20250723173834,HandGestures
501.64,501.64,ScissorIsTouch,20250723173842,HandGestures
498.46,501.64,config60,20250723173842,HandGestures
502.65,502.65,ScissorIsDestroy,20250723173842,HandGestures
508.82,508.82,ScissorIsTouch,20250723173850,HandGestures
506.44,508.82,config61,20250723173850,HandGestures
509.82,509.82,ScissorIsDestroy,20250723173850,HandGestures
515.54,515.54,ScissorIsTouch,20250723173857,HandGestures
512.93,515.54,config62,20250723173857,HandGestures
516.54,516.54,ScissorIsDestroy,20250723173857,HandGestures
522.78,522.78,ScissorIsTouch,20250723173904,HandGestures
520.10,522.78,config63,20250723173904,HandGestures
523.79,523.79,ScissorIsDestroy,20250723173904,HandGestures
529.80,529.80,HammerIsTouch,20250723173911,HandGestures
526.75,529.80,config64,20250723173911,HandGestures
530.81,530.81,HammerIsDestroy,20250723173911,HandGestures
535.88,535.88,HammerIsTouch,20250723173917,HandGestures
533.36,535.88,config65,20250723173917,HandGestures
536.89,536.89,HammerIsDestroy,20250723173917,HandGestures
542.60,542.60,HammerIsTouch,20250723173924,HandGestures
540.11,542.60,config66,20250723173924,HandGestures
543.61,543.61,HammerIsDestroy,20250723173924,HandGestures
549.48,549.48,HammerIsTouch,20250723173931,HandGestures
546.78,549.48,config67,20250723173931,HandGestures
550.48,550.48,HammerIsDestroy,20250723173931,HandGestures
556.78,556.78,HammerIsTouch,20250723173937,HandGestures
553.42,556.78,config68,20250723173937,HandGestures
557.79,557.79,HammerIsDestroy,20250723173937,HandGestures
563.06,563.06,HammerIsTouch,20250723173944,HandGestures
560.58,563.06,config69,20250723173944,HandGestures
564.07,564.07,HammerIsDestroy,20250723173944,HandGestures
570.10,570.10,HammerIsTouch,20250723173951,HandGestures
567.22,570.10,config70,20250723173951,HandGestures
571.11,571.11,HammerIsDestroy,20250723173951,HandGestures
576.88,576.88,HammerIsTouch,20250723173958,HandGestures
574.15,576.88,config71,20250723173958,HandGestures
577.89,577.89,HammerIsDestroy,20250723173958,HandGestures
